                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                  1.923,                 4.8801,                 2.0977,                 1.8277,                 5.9331,                 1.9001,                      0,                      0,                      0,                      0,                 3.0107,                  6.088,                 3.3215,                 2.5652,                 8.8725,                 2.7527,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 1.7313,                 4.9231,                 2.0301,                 1.7086,                 6.1531,                 1.9255,                      0,                      0,                      0,                      0,                 3.0107,                  6.088,                 3.3215,                 2.5652,                 8.8725,                 2.7527,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.1501,                 4.9199,                 2.5764,                  1.666,                  5.933,                 1.9795,                      0,                      0,                      0,                      0,                 3.0081,                 6.0931,                 3.3172,                 2.6032,                 8.8989,                 2.7272,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.9634,                 4.8973,                 2.3116,                 1.6966,                 6.0906,                 2.0121,                      0,                      0,                      0,                      0,                 3.0081,                 6.0931,                 3.3172,                 2.6032,                 8.8989,                 2.7272,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.5131,                 4.8925,                 1.8204,                 1.4941,                 6.0718,                 1.6711,                      0,                      0,                      0,                      0,                 3.0081,                 6.0931,                 3.3172,                 2.6032,                 8.8989,                 2.7272,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.7595,                 4.9035,                 2.1539,                 1.5317,                 5.9983,                 1.8697,                      0,                      0,                      0,                      0,                 3.0081,                 6.0931,                 3.3172,                 2.6032,                 8.8989,                 2.7272,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.3563,                 4.9935,                 2.5054,                 2.0139,                 5.7654,                 2.1367,                      0,                      0,                      0,                      0,                 2.9974,                 6.1175,                 3.2843,                 2.6727,                 8.9544,                 2.7692,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.0239,                 5.0465,                 2.4511,                  1.842,                 6.2532,                 2.0354,                      0,                      0,                      0,                      0,                 2.9974,                 6.1175,                 3.2843,                 2.6727,                 8.9544,                 2.7692,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                  2.024,                 4.9595,                  2.129,                 1.6081,                 6.1173,                 1.7876,                      0,                      0,                      0,                      0,                 2.9974,                 6.1175,                 3.2843,                 2.6727,                 8.9544,                 2.7692,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.7205,                 5.7117,                  3.304,                 2.3794,                 8.4606,                 2.7003,                      0,                      0,                      0,                      0,                 2.9974,                 6.1175,                 3.2843,                 2.6727,                 8.9544,                 2.7692,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.5327,                 5.6632,                 2.8131,                 1.9196,                 8.0723,                 2.3137,                      0,                      0,                      0,                      0,                   3.04,                 6.2076,                 3.2228,                 2.6711,                 8.9657,                 2.8727,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.3414,                   5.62,                 2.6885,                 1.8646,                 8.0425,                 2.3247,                      0,                      0,                      0,                      0,                   3.04,                 6.2076,                 3.2228,                 2.6711,                 8.9657,                 2.8727,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.5536,                 5.3567,                 3.0214,                 2.0544,                  8.071,                 2.3081,                      0,                      0,                      0,                      0,                   3.04,                 6.2076,                 3.2228,                 2.6711,                 8.9657,                 2.8727,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.2781,                 5.4524,                 2.8042,                 1.9474,                   8.01,                 2.3439,                      0,                      0,                      0,                      0,                   3.04,                 6.2076,                 3.2228,                 2.6711,                 8.9657,                 2.8727,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.1643,                  5.493,                 2.9016,                  2.089,                 8.4206,                 2.4657,                      0,                      0,                      0,                      0,                  3.181,                 6.2575,                 3.2857,                 2.5415,                 8.8716,                 2.6738,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.2615,                 5.5301,                  2.618,                 2.0141,                 8.2909,                 2.4992,                      0,                      0,                      0,                      0,                  3.181,                 6.2575,                 3.2857,                 2.5415,                 8.8716,                 2.6738,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.6327,                 5.5409,                 3.3925,                 2.2148,                 8.2853,                 2.6929,                      0,                      0,                      0,                      0,                  3.181,                 6.2575,                 3.2857,                 2.5415,                 8.8716,                 2.6738,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.4497,                 5.7067,                 2.8102,                  2.417,                 8.4825,                  2.757,                      0,                      0,                      0,                      0,                  3.181,                 6.2575,                 3.2857,                 2.5415,                 8.8716,                 2.6738,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.3397,                 5.5829,                 2.5137,                 1.9164,                 8.1311,                 2.3246,                      0,                      0,                      0,                      0,                 3.2182,                 6.2329,                    3.3,                 2.5133,                 8.8468,                 2.6623,             2.3444e-06,             2.3444e-06,             2.3444e-06
