                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.92305,                0.66843,                 1.0371,                 1.0349,                0.77602,                 1.0572,                0.61946,                0.63485,                0.61113,                0.37036,                 1.1394,                 1.2427,                 1.2219,                 1.1822,                 1.4196,                 1.2038,             0.00067654,             0.00067654,             0.00067654
                     82,                0.92153,                0.66849,                 1.0422,                 1.0286,                0.77285,                 1.0603,                0.61487,                   0.66,                0.61697,                0.36761,                 1.1301,                 1.1815,                 1.2287,                  1.179,                 1.3738,                 1.2101,             0.00067104,             0.00067104,             0.00067104
                     83,                0.92692,                0.67591,                  1.044,                 1.0393,                0.79044,                 1.0645,                0.60658,                0.62816,                0.59138,                0.35109,                 1.1498,                 1.2852,                 1.2394,                 1.1987,                 1.4752,                 1.2253,             0.00066554,             0.00066554,             0.00066554
                     84,                 0.9146,                0.66181,                 1.0369,                 1.0248,                0.76749,                 1.0552,                0.58435,                0.63923,                0.60339,                0.36543,                 1.1447,                 1.2017,                 1.2252,                 1.1899,                 1.3736,                 1.2118,             0.00066005,             0.00066005,             0.00066005
                     85,                0.91456,                0.66389,                  1.035,                 1.0268,                  0.776,                  1.054,                0.60336,                0.67542,                0.61767,                0.37467,                 1.1131,                 1.2369,                 1.2179,                 1.1587,                  1.441,                  1.202,             0.00065455,             0.00065455,             0.00065455
                     86,                0.92508,                0.66793,                  1.042,                 1.0365,                0.77842,                 1.0626,                0.61379,                0.65862,                0.61852,                0.37313,                 1.1459,                 1.1711,                 1.2402,                 1.1911,                 1.3519,                 1.2173,             0.00064905,             0.00064905,             0.00064905
                     87,                 0.9176,                0.66356,                  1.036,                 1.0283,                0.77534,                 1.0574,                 0.5863,                0.64598,                0.59591,                 0.3585,                  1.169,                 1.2227,                 1.2414,                 1.2137,                 1.4179,                 1.2269,             0.00064355,             0.00064355,             0.00064355
                     88,                0.90729,                0.64969,                 1.0292,                 1.0157,                0.74746,                   1.05,                0.59217,                0.65715,                0.60847,                0.36799,                 1.1325,                 1.1758,                 1.2014,                 1.1823,                 1.3574,                 1.1958,             0.00063805,             0.00063805,             0.00063805
                     89,                 0.9058,                0.64138,                 1.0267,                 1.0153,                0.74192,                 1.0464,                 0.5991,                0.65361,                0.60528,                0.36692,                 1.1492,                 1.1989,                 1.2252,                 1.1941,                 1.3815,                 1.2083,             0.00063255,             0.00063255,             0.00063255
                     90,                0.90682,                0.64369,                 1.0277,                 1.0241,                0.74218,                 1.0497,                0.62517,                0.66641,                0.62373,                0.37751,                 1.1284,                 1.1715,                 1.2213,                 1.1667,                   1.36,                 1.2028,             0.00062705,             0.00062705,             0.00062705
                     91,                0.90885,                0.64866,                 1.0282,                 1.0194,                 0.7491,                 1.0485,                0.61674,                0.64422,                0.60963,                0.35989,                 1.1493,                 1.2897,                 1.2337,                 1.1904,                 1.4826,                  1.216,             0.00062155,             0.00062155,             0.00062155
                     92,                0.89888,                0.64123,                 1.0272,                 1.0109,                0.73689,                 1.0482,                0.62019,                0.65237,                0.61912,                0.37066,                 1.1371,                 1.2202,                 1.2358,                 1.1801,                 1.4309,                 1.2103,             0.00061605,             0.00061605,             0.00061605
                     93,                0.89591,                0.63547,                 1.0229,                 1.0065,                0.73779,                 1.0417,                0.61234,                0.63819,                0.60131,                0.36652,                 1.1636,                 1.2812,                  1.255,                 1.1975,                 1.4919,                 1.2304,             0.00061055,             0.00061055,             0.00061055
                     94,                0.90259,                0.63941,                 1.0278,                 1.0143,                0.73754,                  1.048,                0.61768,                0.63199,                0.60608,                0.36833,                 1.1493,                 1.2185,                 1.2208,                 1.1957,                  1.425,                 1.2112,             0.00060505,             0.00060505,             0.00060505
                     95,                0.90477,                0.63979,                 1.0255,                 1.0172,                 0.7422,                 1.0475,                0.62301,                0.63186,                0.60099,                 0.3605,                 1.1473,                 1.2617,                  1.228,                 1.1851,                 1.4774,                 1.2168,             0.00059955,             0.00059955,             0.00059955
                     96,                0.89729,                0.63065,                 1.0264,                  1.012,                0.72537,                 1.0496,                0.60232,                0.64811,                0.60759,                0.37142,                 1.1328,                 1.2729,                 1.2183,                 1.1759,                 1.4852,                 1.2067,             0.00059405,             0.00059405,             0.00059405
                     97,                0.90363,                0.63818,                  1.029,                 1.0122,                0.73289,                 1.0503,                0.59411,                0.62827,                0.59556,                0.36202,                 1.1438,                 1.2983,                 1.2276,                 1.1884,                 1.5033,                  1.223,             0.00058855,             0.00058855,             0.00058855
